state,year,mean_ndvi
Karnataka,2016,0.4603
Kerala,2016,0.7318
Lakshadweep,2016,0.5635
Maharashtra,2016,0.4421
Manipur,2016,0.7521
Meghalaya,2016,0.7235
Mizoram,2016,0.8002
Nagaland,2016,0.7648
Orissa,2016,0.5542
Punjab,2016,0.5622
Rajasthan,2016,0.3005
Sikkim,2016,0.4472
Tamil Nadu,2016,0.4983
Tripura,2016,0.726
West Bengal,2016,0.5434
Arunachal Pradesh,2016,0.7477
Chandigarh,2016,0.411
Dadra and Nagar Haveli,2016,0.4536
Daman and Diu,2016,0.4481
Puducherry,2016,0.5522
Bihar,2017,0.5077
Chhattisgarh,2017,0.5281
Jharkhand,2017,0.5005
Madhya Pradesh,2017,0.4665
Uttar Pradesh,2017,0.4895
Uttarakhand,2017,0.5087
Andaman and Nicobar,2017,0.8044
Andhra Pradesh,2017,0.4936
Assam,2017,0.621
Delhi,2017,0.3618
Goa,2017,0.6678
Gujarat,2017,0.4002
Haryana,2017,0.4826
Himachal Pradesh,2017,0.3654
Karnataka,2017,0.4832
Kerala,2017,0.7409
Lakshadweep,2017,0.5928
Maharashtra,2017,0.4847
Manipur,2017,0.7623
Meghalaya,2017,0.7384
Mizoram,2017,0.8095
Nagaland,2017,0.7801
Orissa,2017,0.5578
Punjab,2017,0.538
Rajasthan,2017,0.3028
Sikkim,2017,0.4662
Tamil Nadu,2017,0.4945
Tripura,2017,0.735
West Bengal,2017,0.554
Arunachal Pradesh,2017,0.7589
Chandigarh,2017,0.4318
Dadra and Nagar Haveli,2017,0.5045
Daman and Diu,2017,0.5
Puducherry,2017,0.5634
Bihar,2018,0.4849
Chhattisgarh,2018,0.5055
Jharkhand,2018,0.4957
Madhya Pradesh,2018,0.44
Uttar Pradesh,2018,0.4679
Uttarakhand,2018,0.5094
Andaman and Nicobar,2018,0.8033
Andhra Pradesh,2018,0.4599
Assam,2018,0.6215
Delhi,2018,0.3547
Goa,2018,0.6543
Gujarat,2018,0.3635
Haryana,2018,0.4858
Himachal Pradesh,2018,0.3654
Karnataka,2018,0.4753
Kerala,2018,0.7245
Lakshadweep,2018,0.5835
Maharashtra,2018,0.45
Manipur,2018,0.7364
Meghalaya,2018,0.7231
Mizoram,2018,0.7983
Nagaland,2018,0.7562
Orissa,2018,0.5536
Punjab,2018,0.5416
Rajasthan,2018,0.29
Sikkim,2018,0.4474
Tamil Nadu,2018,0.5041
Tripura,2018,0.7245
West Bengal,2018,0.5491
Arunachal Pradesh,2018,0.7505
Chandigarh,2018,0.432
Dadra and Nagar Haveli,2018,0.4812
Daman and Diu,2018,0.4521
Puducherry,2018,0.5538
Bihar,2019,0.5048
Chhattisgarh,2019,0.5362
Jharkhand,2019,0.5177
Madhya Pradesh,2019,0.4732
Uttar Pradesh,2019,0.5087
Uttarakhand,2019,0.5153
Andaman and Nicobar,2019,0.8038
Andhra Pradesh,2019,0.481
Assam,2019,0.6284
